DUS_section,DUS_summary,rule_source,textual_rule,sub_rule_text,sub_rule_conformity,subrule_outcome,rule_conformity,rule_outcome
1001,Borrower Income Verification,Income & Expenses,Borrower must have documented income for past 2 years,W2 or pay stub documentation required,PASS,Income verified from recent W2 forms,PASS,All income documentation acceptable
1002,Employment History,Income & Expenses,Employment must be continuous for 2 years,Current employment letter and employment history review,PASS,Current employment confirmed,PASS,Employment history meets requirements
1003,Debt-to-Income Ratio,Income & Expenses,DTI must not exceed 43%,Calculate total monthly obligations divided by gross monthly income,FAIL,DTI calculated at 47% - exceeds maximum,FAIL,DTI compliance issue detected
1004,Co-borrower Income,Income & Expenses,Co-borrower income must be documented if co-borrower is on note,Co-borrower income documentation required,PASS,Co-borrower income fully documented,PASS,Co-borrower income verified
1005,Residual Income Analysis,Income & Expenses,Residual income after all debt obligations must be sufficient,Calculate remaining income after all monthly expenses,PASS,Residual income adequate at $2500/month,PASS,Residual income acceptable
1006,Variable Income Documentation,Income & Expenses,Variable income must be documented for 2 years,Bonus or commission income must show 2-year history,FAIL,Insufficient documentation for bonus income,FAIL,Variable income documentation incomplete
2001,Property Valuation,Valuation,Appraisal must be current within 120 days,Appraisal date must be within acceptable timeframe,PASS,Appraisal dated within last 60 days,PASS,Property appraisal current and acceptable
2002,LTV Requirements,Valuation,Loan to Value ratio must not exceed 95%,Loan amount must not exceed 95% of appraised value,PASS,LTV calculated at 85%,PASS,LTV within acceptable range
2003,Comparable Sales Analysis,Valuation,Property must compare favorably to recent sales,Recent comparable sales in area within 6 months,FAIL,Limited comparables available in area,FAIL,Valuation comparables insufficient
2004,Property Condition,Valuation,Property must be in acceptable condition,Property inspection required - no major defects,PASS,Property condition acceptable - minor repairs noted,PASS,Property condition acceptable
2005,Appraisal Methodology,Valuation,Appraisal must use appropriate valuation approach,Comparable sales approach or income approach applied correctly,PASS,Appraisal used sound comparable sales methodology,PASS,Appraisal methodology sound
2006,Market Value Verification,Valuation,Appraised value must align with market conditions,Market analysis and trending verified,PASS,Appraised value supported by current market data,PASS,Market value verified
3001,Loan Purpose,Management & Exit,Loan purpose must be clearly stated,Loan purpose documentation required,PASS,Loan purpose clearly defined as purchase,PASS,Loan purpose acceptable
3002,Loan Term,Management & Exit,Loan term must be between 5 and 30 years,Verify loan term falls within acceptable range,PASS,Loan term is 30 years,PASS,Loan term acceptable
3003,Interest Rate Compliance,Management & Exit,Interest rate must be reasonable for market conditions,Rate comparison to current market rates,PASS,Interest rate competitive for current market,PASS,Interest rate acceptable
3004,Underwriting File Completeness,Management & Exit,All required documents must be present in file,Complete checklist of required documents,FAIL,Missing recent pay stubs and tax returns,FAIL,Underwriting file incomplete
3005,Seasoning Requirements,Management & Exit,Seasoning requirements must be met if applicable,Property ownership history verification required,PASS,Property meets seasoning requirements,PASS,Seasoning requirements satisfied
3006,Fraud Prevention Checks,Management & Exit,Fraud prevention requirements must be implemented,Identity verification and fraud check documentation,PASS,All fraud prevention checks completed,PASS,Fraud prevention compliance met
